['hood] = [vicinity, locality, neighborhood, neighbourhood, neck_of_the_woods, -1]
[antipsychotic_agent] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[antipsychotic_drug] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[anxiolytic] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, antianxiety_agent, -1]
[anxiolytic_drug] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, antianxiety_agent, -1]
[aper] = [epigone, epigon, parrot, mortal, person, -1]
[aperient] = [medicament, medicinal_drug, medication, aloes, bitter_aloes, 1]
[aphasia] = [auditory_aphasia, acoustic_aphasia, word_deafness, nominal_aphasia, anomic_aphasia, -1]
[apocalypse] = [calamity, catastrophe, tragedy, disaster, cataclysm, -1]
[apothecary] = [pharmacologist, pharmaceutical_chemist, health_professional, primary_care_provider, health_care_provider, 1]
[apotheosis] = [jimdandy, jimhickey, crackerjack, class_act, humdinger, 1]
[appal] = [churn_up, sicken, disgust, nauseate, revolt, -1]
[appease] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[appetisingness] = [flavorsomeness, flavoursomeness, savoriness, succulence, succulency, -1]
[appetizingness] = [flavorsomeness, flavoursomeness, savoriness, succulence, succulency, -1]
[appreciator] = [mortal, enophile, oenophile, person, individual, 1]
[apprehend] = [understand, twig, digest, tumble, intuit, 1]
[apprehensiveness] = [fear, fearfulness, foreboding, presentiment, boding, -1]
[approximation] = [underestimation, underrating, underreckoning, dead_reckoning, underestimate, -1]
[apteral] = [amphistylar, amphiprostylar, amphiprostyle, porticoed, prostyle, -1]
[argufy] = [fall_out, debate, wrangle, spat, brawl, 1]
[arguing] = [firestorm, dispute, fight, conflict, polemic, 1]
[argumentative] = [contentious, disputatious, disputative, eristic, eristical, 1]
[aristocracy] = [knighthood, elite, elite_group, noblesse, peerage, 1]
[armored] = [bulletproof, mailed, lightly_armored, lightly_armoured, scaled, -1]
[armored_dinosaur] = [ankylosaur, ankylosaurus, stegosaur, stegosaurus, ornithischian, 1]
[armored_vehicle] = [tank, tank_destroyer, armored_car, armoured_car, armored_personnel_carrier, -1]
[armoured_vehicle] = [tank, tank_destroyer, armored_car, armoured_car, armored_personnel_carrier, -1]
[array] = [panoply, row, table, tabular_array, matrix, 1]
[arrhythmia] = [heart_block, atrioventricular_block, bradycardia, ventricular_fibrillation, tachycardia, -1]
[arriviste] = [junior, unpleasant_person, disagreeable_person, climber, social_climber, -1]
[arrogator] = [mortal, person, individual, someone, somebody, -1]
[arteritis] = [pulseless_disease, temporal_arteritis, rubor, redness, polyarteritis, -1]
[artificial_respiration] = [emergency_procedure, breathing, external_respiration, respiration, ventilation, -1]
[artificiality] = [unnaturalness, pretence, pretension, staginess, theatricality, -1]
[artistic_creation] = [gastronomy, arts_and_crafts, carving, decoupage, ceramics, 1]
[artistic_production] = [gastronomy, arts_and_crafts, carving, decoupage, ceramics, 1]
[artistry] = [eristic, puppetry, homiletics, aviation, airmanship, 1]
[asceticism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, 1]
[asexual] = [agamic, agamous, agamogenetic, parthenogenetic, apomictic, -1]
[asexual_reproduction] = [pullulation, apomixis, blastogenesis, budding, fission, -1]
[ask_for] = [arouse, elicit, enkindle, kindle, evoke, 1]
[ask_for_it] = [persevere, hang_in, persist, hang_on, hold_on, -1]
[ask_for_trouble] = [persevere, hang_in, persist, hang_on, hold_on, -1]
[asperger's_syndrome] = [mental_disorder, mental_disturbance, psychological_disorder, folie, disturbance, -1]
[asperse] = [assassinate, charge, accuse, malign, libel, 1]
[asphyxiating] = [dyspneic, dyspnoeic, dyspneal, dyspnoeal, breathless, -1]
[assail] = [blindside, profane, assault, savage, violate, -1]
[assassination] = [calumniation, traducement, hatchet_job, defamation, calumny, -1]
[assertion] = [testimony, claim, charge, contention, accusation, 1]
[assets] = [overage, crown_jewel, security, capital, hole_card, 1]
[asseverate] = [say, aver, predicate, insist, take_a_firm_stand, 1]
[asseveration] = [testimony, claim, charge, contention, accusation, 1]
[assiduity] = [diligence, industriousness, singleness, intentness, engrossment, 1]
[assiduousness] = [diligence, industriousness, singleness, intentness, engrossment, 1]
[assoil] = [pronounce, purge, whitewash, vindicate, label, 1]
[assuage] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[asthenia] = [infirmity, frailty, debility, frailness, valetudinarianism, -1]
[astheny] = [infirmity, frailty, debility, frailness, valetudinarianism, -1]
[asthmatic] = [mortal, person, individual, someone, somebody, -1]
[astringence] = [taste, taste_sensation, gustatory_sensation, taste_perception, gustatory_perception, -1]
[astringency] = [taste, taste_sensation, gustatory_sensation, taste_perception, gustatory_perception, -1]
[astuteness] = [foxiness, slyness, wiliness, craftiness, cunning, 1]
[asymmetry] = [geometrical_irregularity, radial_asymmetry, lopsidedness, skewness, irregularity, -1]
[atabrine] = [antimalarial, antimalarial_drug, vermifuge, anthelmintic, anthelminthic, -1]
[ataractic] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[ataractic_agent] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[ataractic_drug] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[ataraxia] = [tranquility, serenity, repose, placidity, quiet, 1]
[ataxia] = [hereditary_cerebellar_ataxia, herediatry_spinal_ataxia, nervous_disorder, neurological_disorder, neurological_disease, -1]
[ataxy] = [hereditary_cerebellar_ataxia, herediatry_spinal_ataxia, nervous_disorder, neurological_disorder, neurological_disease, -1]
[athletic_game] = [sport, game, ice_hockey, hockey, hockey_game, 1]
[athletic_wear] = [attire, garb, dress, gym_suit, running_suit, -1]
[atomic_number_54] = [chemical_element, element, noble_gas, inert_gas, argonon, -1]
[atomic_number_79] = [green_gold, pure_gold, gold_dust, guinea_gold, noble_metal, -1]
[atonement] = [amends, damages, indemnification, redress, restitution, -1]
[atrophic_arthritis] = [arthritis, psoriatic_arthritis, juvenile_rheumatoid_arthritis, autoimmune_disease, autoimmune_disorder, -1]
[atrophy] = [amyotrophia, amyotrophy, tabes, kraurosis, symptom, -1]
[attest] = [prove, show, condemn, authenticate, reflect, 1]
[attire] = [finery, sportswear, athletic_wear, activewear, costume, -1]
[attract] = [get, catch, arrest, tug, retract, 1]
[attractiveness] = [quality, fascination, allurement, allure, temptingness, 1]
[attributable] = [due, traceable, ascribable, imputable, referable, 1]
[atypical_pneumonia] = [psittacosis, parrot_fever, ornithosis, respiratory_disease, respiratory_illness, 1]
[au] = [green_gold, pure_gold, gold_dust, guinea_gold, noble_metal, -1]
[audition] = [ear, absolute_pitch, perfect_pitch, modality, sense_modality, 1]
[auditor] = [percipient, eavesdropper, perceiver, observer, beholder, -1]
[auspicate] = [foreshow, signal, threaten, bespeak, betoken, 1]
[auspice] = [omen, portent, presage, prognostic, prognostication, 1]
[auspicious] = [fortunate, rosy, promising, bright, hopeful, 1]
[auspiciousness] = [profitableness, favorableness, favourableness, advantageousness, positivity, 1]
[australian_magpie] = [piping_crow, butcherbird, currawong, bell_magpie, oscine, -1]
[authenticity] = [real_thing, real_stuff, credibility, credibleness, believability, 1]
[authoring_language] = [software, software_program, computer_software, software_system, software_package, -1]
[authorized] = [commissioned, accredited, licensed, licenced, approved, -1]
[autobahn] = [expressway, freeway, motorway, state_highway, throughway, 1]
[autosomal_dominant_disease] = [neurofibromatosis, osteogenesis_imperfecta, genetic_disease, genetic_disorder, genetic_abnormality, -1]
[autosomal_dominant_disorder] = [neurofibromatosis, osteogenesis_imperfecta, genetic_disease, genetic_disorder, genetic_abnormality, -1]
[autosomal_recessive_defect] = [thrombasthenia, tyrosinemia, genetic_disease, genetic_disorder, genetic_abnormality, -1]
[autosomal_recessive_disease] = [thrombasthenia, tyrosinemia, genetic_disease, genetic_disorder, genetic_abnormality, -1]
[average_out] = [work_out, reckon, calculate, cipher, cypher, -1]
[averment] = [testimony, claim, charge, contention, accusation, 1]
[avitaminosis] = [scurvy, pellagra, mal_de_la_rosa, mal_rosso, maidism, -1]
[avoidance] = [rejection, escape, near_thing, aversion, averting, 1]
[avow] = [hold, attest, assure, claim, take, 1]
[await] = [look_forward, look_to, look_for, hang_on, expect, -1]
[aware] = [alert, sensible, alive, conscious, awake, 1]
[ayrshire] = [dairy_cattle, dairy_cow, milch_cow, milk_cow, milcher, 1]
[b.o.] = [malodorousness, stinkiness, fetidness, rankness, foulness, -1]
[babinski] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, 1]
[babinski_reflex] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, 1]
[babinski_sign] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, 1]
[backward] = [inverse, reverse, retrograde, reflexive, retral, 1]
[backwardness] = [moronity, mental_deficiency, imbecility, stupidity, mental_defectiveness, -1]
[bacon] = [bacon_strip, flitch, side_of_bacon, gammon, cut_of_pork, 1]
[bacteria] = [gonococcus, acidophil, acidophile, probiotic, probiotic_bacterium, 1]
[bad_hat] = [disturber, provoker, inciter, instigant, hellhound, -1]
[baddie] = [character, role, theatrical_role, part, persona, -1]
[badge] = [blue_ribbon, cordon_bleu, allegory, stripe, merit_badge, 1]
[bafflement] = [confusion, disarray, mental_confusion, confusedness, muddiness, -1]
[balanced] = [harmonious, stable, symmetrical, counterbalanced, proportionate, 1]
[balderdash] = [nonsense, meaninglessness, bunk, nonsensicality, hokum, 1]
[balloting] = [choice, option, veto, multiple_voting, block_vote, 1]
[bandwagon_effect] = [issue, effect, consequence, outcome, result, 1]
[bangle] = [jewelry, jewellery, anklet, ankle_bracelet, armilla, -1]
[barbarian] = [primitive, headhunter, cannibal, anthropophagus, anthropophagite, -1]
[bark] = [cork, cassia_bark, canella, canella_bark, white_cinnamon, -1]
[barony] = [demesne, estate, land, landed_estate, acres, 1]
[basidiomycete] = [fungus, mushroom, agaric, gill_fungus, polypore, -1]
[basidiomycetous_fungi] = [fungus, mushroom, agaric, gill_fungus, polypore, -1]
[basophil] = [leukocyte, leucocyte, white_blood_cell, white_cell, white_blood_corpuscle, 1]
[basophile] = [leukocyte, leucocyte, white_blood_cell, white_cell, white_blood_corpuscle, 1]
[bawd] = [slattern, camp_follower, call_girl, comfort_woman, ianfu, -1]
[bawl_out] = [castigate, tell_off, brush_down, chasten, objurgate, -1]
[bawling_out] = [reprimand, rebuke, reproof, reproval, reprehension, -1]
[be_intimate] = [have, pair, take, couple, fornicate, 1]
[bean] = [common_bean, soya, goa_bean, mung_bean, mung, -1]
[bear_on] = [matter_to, interest, hold, go_for, regard, 1]
[bear_out] = [check, match, correspond, jibe, tally, 1]
[bear_up] = [endure, brook, tolerate, stomach, abide, -1]
[bear_upon] = [color, treat, strike_a_blow, expose, influence, 1]
[beat_out] = [master, walk_over, checkmate, outfight, screw, 1]
[beautician] = [craftsman, manicurist, artisan, journeyman, artificer, 1]
[beautify] = [suit, better, improve, ameliorate, meliorate, 1]
[beauty_treatment] = [makeover, beautification, manicure, pedicure, facial, 1]
[becharm] = [bewitch, enchant, jinx, hex, witch, 1]
[bedamn] = [call_down, stir, call_forth, conjure, bring_up, -1]
[bedizen] = [ornament, grace, decorate, adorn, embellish, -1]
[bedraggle] = [sop, douse, dowse, drench, soak, -1]
[befit] = [check, match, correspond, jibe, tally, 1]
[befuddle] = [demoralize, pose, disorient, disorientate, amaze, -1]
[befuddlement] = [confusion, disarray, mental_confusion, confusedness, muddiness, -1]
[beginning] = [issue, start, casus_belli, emergence, egress, 1]
[begrime] = [muddy_up, muck_up, foul, blemish, smear, -1]
[beguiler] = [mountebank, charlatan, obscurantist, sandbagger, gouger, 1]
[behavior_modification] = [implosion_therapy, flooding, reciprocal_inhibition, aversion_therapy, desensitization_technique, 1]
[behavior_therapy] = [implosion_therapy, flooding, reciprocal_inhibition, aversion_therapy, desensitization_technique, 1]
[beleaguer] = [torment, bedevil, rag, dun, crucify, -1]
[belly_out] = [tumefy, swell_up, tumesce, intumesce, swell, -1]
[bemire] = [muddy_up, muck_up, foul, blemish, smear, -1]
[bemoan] = [quetch, kvetch, complain, sound_off, plain, -1]
[bemock] = [blackguard, deride, twit, tease, razz, -1]
[bemuse] = [upset, disconcert, discompose, discomfit, untune, -1]
[bemusement] = [confusion, disarray, mental_confusion, confusedness, muddiness, -1]
[bendability] = [suppleness, pliancy, pliantness, flexibility, flexibleness, -1]
[beneficiary] = [pensionary, pensioner, devisee, legatee, recipient, -1]
[benight] = [overwhelm, overpower, sweep_over, whelm, overcome, 1]
[benign_tumor] = [fibroma, adenoma, chondroma, enchondroma, myoma, -1]
[benzoyl_peroxide] = [peroxide, bleaching_agent, bleach, blanching_agent, whitener, 1]
[berate] = [castigate, tell_off, brush_down, chasten, objurgate, -1]
[berating] = [reprimand, rebuke, reproof, reproval, reprehension, -1]
[bereaved_person] = [mortal, person, individual, someone, somebody, -1]
[beseem] = [check, match, correspond, jibe, tally, 1]
[beshrew] = [call_down, stir, call_forth, conjure, bring_up, -1]
[besiege] = [assail, blockade, seal_off, ebb, attack, -1]
[besmirch] = [assassinate, charge, accuse, malign, libel, 1]
[betrayer] = [fink, snitch, snitcher, sneak, stoolpigeon, -1]
[bettering] = [corrective, remedial, ameliorating, ameliorative, amelioratory, 1]
[beverage] = [smoothie, drinking_water, nutrient, milk, refresher, 1]
[bewail] = [quetch, kvetch, complain, sound_off, plain, -1]
[bewray] = [bring_out, break, let_out, expose, unwrap, -1]
[bias] = [taboo, tabu, tendentiousness, irrational_hostility, experimenter_bias, -1]
[bicker] = [wrangle, dustup, quarrel, row, words, -1]
[bickering] = [wrangle, dustup, quarrel, row, words, -1]
[big_cheese] = [knocker, supremo, important_person, influential_person, personage, 1]
[big_enchilada] = [knocker, supremo, important_person, influential_person, personage, 1]
