[intractability] = [mulishness, unruliness, fractiousness, willfulness, wilfulness, -1]
[ko_punch] = [poke, clout, lick, punch, biff, -1]
[kudos] = [superlative, compliment, testimonial, good_word, approval, 1]
[kvetch] = [whiner, complainer, moaner, sniveller, crybaby, -1]
[lace] = [shoe_string, shoestring, cord, bootlace, shoelace, -1]
[lacing] = [liquor, spirits, booze, hard_drink, hard_liquor, -1]
[lactase_deficiency] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[lactobacillus_acidophilus] = [lactobacillus, probiotic, probiotic_bacterium, probiotic_microflora, probiotic_flora, -1]
[lactose_intolerance] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[ladies'_slipper] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[lady's_slipper] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[lady_of_pleasure] = [slattern, camp_follower, call_girl, comfort_woman, ianfu, -1]
[lady_slipper] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[laissez_faire] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[lamb_roast] = [leg_of_lamb, gigot, joint, roast, rack_of_lamb, 1]
[lamenter] = [unfortunate, unfortunate_person, weeper, pallbearer, bearer, -1]
[lamisil] = [antifungal, antifungal_agent, fungicide, antimycotic, antimycotic_agent, 1]
[landing_strip] = [flare_path, airfield, landing_field, flying_field, field, -1]
[landrover] = [car, auto, automobile, machine, motorcar, 1]
[lantern_jaw] = [jowl, lower_jaw, mandible, mandibula, mandibular_bone, 1]
[large_indefinite_amount] = [infinitude, piles, mess, large_number, tons, -1]
[large_indefinite_quantity] = [infinitude, piles, mess, large_number, tons, -1]
[large_integer] = [gross, century, grand, million, billion, 1]
[lasciviousness] = [amorousness, sexiness, amativeness, eroticism, erotism, 1]
[lasting] = [everlasting, standing, imperishable, enduring, aeonian, -1]
[lastingness] = [indestructibility, tensile_strength, continuity, persistence, changelessness, 1]
[laurels] = [prize, seal_of_approval, honorable_mention, aliyah, cachet, 1]
[law_enforcement_agency] = [police, police_force, constabulary, law, agency, 1]
[law_of_nature] = [law_of_effect, principle, rule, law_of_diminishing_returns, distribution_law, 1]
[laxation] = [shit, bowel_movement, movement, dump, bm, -1]
[laxative] = [purgative, cathartic, physic, aperient, phenolphthalein, -1]
[lay_on_the_line] = [hazard, stake, jeopardize, essay, assay, -1]
[lead_astray] = [misdirect, deprave, vitiate, profane, demoralize, -1]
[lead_off] = [pervert, debauch, corrupt, subvert, debase, 1]
[leaf_blight] = [needle_blight, needle_cast, leaf_cast, blight, fire_blight, -1]
[leafy] = [petallike, bowery, foliolate, unifoliate, bifoliate, -1]
[leaky] = [drafty, draughty, porous, drippy, oozing, -1]
[leanness] = [insufficiency, sparseness, sparsity, abstemiousness, spareness, -1]
[learned_profession] = [practice_of_law, medicine, theology, profession, law, 1]
[learning] = [education, internalization, internalisation, incorporation, study, 1]
[learning_disability] = [dyslexia, dyscalculia, dysgraphia, disorder, upset, 1]
[learning_disorder] = [dyslexia, dyscalculia, dysgraphia, disorder, upset, 1]
[least_effort] = [sweat, effort, elbow_grease, exertion, travail, -1]
[least_resistance] = [sweat, effort, elbow_grease, exertion, travail, -1]
[leech] = [medicinal_leech, horseleech, annelid, annelid_worm, segmented_worm, -1]
[legal_action] = [antitrust_case, civil_action, counterclaim, custody_case, lis_pendens, 1]
[legendary_creature] = [mythical_monster, mythical_creature, abominable_snowman, yeti, doppelganger, 1]
[legitimate] = [countenance, monetize, monetise, permit, allow, 1]
[leisure_wear] = [wear, wearable, clothing, article_of_clothing, vesture, -1]
[lenify] = [tranquilize, tranquillize, tranquillise, calm_down, quieten, 1]
[leprechaun] = [imp, elf, hob, gremlin, pixie, -1]
[leresis] = [garrulity, garrulousness, loquaciousness, loquacity, talkativeness, 1]
[let_loose] = [squeal, blate, churr, honk, sibilate, 1]
[let_out] = [squeal, blate, churr, honk, sibilate, 1]
[lethargic] = [foggy, groggy, logy, stuporous, dazed, -1]
[leucaemia] = [monocytic_leukemia, monocytic_leukaemia, monoblastic_leukemia, monoblastic_leukaemia, histiocytic_leukemia, -1]
[leukaemia] = [monocytic_leukemia, monocytic_leukaemia, monoblastic_leukemia, monoblastic_leukaemia, histiocytic_leukemia, -1]
[leukemia] = [monocytic_leukemia, monocytic_leukaemia, monoblastic_leukemia, monoblastic_leukaemia, histiocytic_leukemia, -1]
[lever] = [bar, treadle, pry, key, peavey, -1]
[lgv] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[liability] = [ratability, susceptibility, susceptibleness, taxability, rateability, 1]
[libertarian] = [economic_libertarian, civil_libertarian, advocate, advocator, proponent, 1]
[license] = [instrument, building_permit, driver's_license, driver's_licence, driving_license, 1]
[lichen] = [lichen_planus, lichen_ruber_planus, skin_disease, disease_of_the_skin, skin_disorder, -1]
[licking] = [debacle, lurch, whitewash, finish, failure, -1]
[lie_with] = [have, pair, take, couple, fornicate, 1]
[light_reflex] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[lighted] = [ablaze, aflame, afire, aflare, alight, 1]
[likeness] = [resemblance, comparison, equivalence, reflection, spitting_image, -1]
[limen] = [sensation, esthesis, aesthesis, sense_experience, sense_impression, 1]
[limitation] = [narrowness, rule, quantification, regulation, restraint, 1]
[limpidity] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[line_of_destiny] = [crease, crinkle, wrinkle, furrow, seam, 1]
[line_of_fate] = [crease, crinkle, wrinkle, furrow, seam, 1]
[line_of_heart] = [crease, crinkle, wrinkle, furrow, seam, 1]
[line_of_reasoning] = [reasoning, logical_thinking, abstract_thought, casuistry, line_of_inquiry, 1]
[line_of_saturn] = [crease, crinkle, wrinkle, furrow, seam, 1]
[lining] = [refractory, protective_cover, protective_covering, protection, brake_lining, -1]
[lionise] = [honor, honour, respect, abide_by, observe, 1]
[lionize] = [honor, honour, respect, abide_by, observe, 1]
[lip_service] = [pretense, feigning, dissembling, pretence, crocodile_tears, 1]
[liqueur] = [anisette, maraschino, ratafia, pastis, ratafee, 1]
[lisper] = [utterer, speaker, talker, verbalizer, verbaliser, 1]
[literacy] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[literalism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[literary_criticism] = [critique, review, explication_de_texte, textual_criticism, new_criticism, 1]
[literary_genre] = [poetry, verse, drama, prose, form, -1]
[little_girl] = [farm_girl, flower_girl, moppet, schoolgirl, female, 1]
[little_terror] = [rascal, rapscallion, scalawag, scallywag, monkey, -1]
[live_wire] = [goffer, gopher, actor, doer, worker, 1]
[live_with] = [endure, brook, tolerate, stomach, abide, -1]
[lively] = [bouncing, scintillating, spirited, peppy, zippy, 1]
[liven] = [spirit, spirit_up, inspirit, energize, jazz_up, 1]
[liven_up] = [spirit, spirit_up, inspirit, energize, jazz_up, 1]
[liver_disease] = [disease, fatty_liver, hepatitis, liver_cancer, cancer_of_the_liver, 1]
[living_wage] = [pay, wage, earnings, remuneration, salary, -1]
[llama] = [guanaco, domestic_llama, alpaca, artiodactyl, artiodactyl_mammal, -1]
[lockup] = [jail, jailhouse, gaol, poky, clink, 1]
[locust_tree] = [courbaril, water_locust, swamp_locust, honey_locust, black_locust, -1]
[lode] = [mother_lode, champion_lode, deposit, sedimentation, alluviation, 1]
[log_z's] = [catnap, sleep_late, sleep_in, rest, practice_bundling, -1]
[loggerhead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[logical_argument] = [reasoning, logical_thinking, abstract_thought, casuistry, line_of_inquiry, 1]
[logical_fallacy] = [petitio_principii, petitio, hysteron_proteron, fallacy, false_belief, 1]
[logical_system] = [system_of_rules, symbolic_logic, mathematical_logic, formal_logic, system, 1]
[logical_thinking] = [ratiocination, logical_argument, line_of_reasoning, thinking, thought, 1]
[logicality] = [rationality, quality, rationalness, completeness, consistency, 1]
[logicalness] = [rationality, quality, rationalness, completeness, consistency, 1]
[logjam] = [check, arrest, hitch, halt, stay, 1]
[long_suit] = [strong_suit, collection, aggregation, accumulation, assemblage, 1]
[longhand] = [copperplate, hand, minuscule, italic, round_hand, -1]
[look_at] = [think_about, play, trifle, abstract, warm_to, 1]
[look_into] = [probe, study, research, search, explore, 1]
[looker] = [cheerer, gawker, percipient, rubberneck, starer, 1]
[looking] = [view, peek, stare, lookout, sight, 1]
[looking_at] = [view, peek, stare, lookout, sight, 1]
[loony_bin] = [asylum, mental_hospital, psychiatric_hospital, mental_institution, mental_home, -1]
[lore] = [content, old_wives'_tale, folklore, cognitive_content, mental_object, 1]
[lose_it] = [behave, dissolve, die, fall_apart, go_to_pieces, 1]
[lost_cause] = [movement, cause, campaign, crusade, drive, -1]
[loungewear] = [wear, lounging_pajama, lounging_pyjama, wearable, lounger, -1]
[lousiness] = [pediculosis_capitis, head_lice, pediculosis_corporis, pediculosis_pubis, crabs, -1]
[lovable] = [cherubic, lovely, adorable, endearing, angelic, 1]
[love_line] = [crease, crinkle, wrinkle, furrow, seam, 1]
[loveable] = [cherubic, lovely, adorable, endearing, angelic, 1]
[lovebird] = [parakeet, parrakeet, parroket, paraquet, paroquet, 1]
[loved] = [preferred, wanted, admired, darling, precious, 1]
[low_blow] = [abuse, vilification, insult, revilement, contumely, -1]
[low_status] = [inferiority, lower_status, lower_rank, status, position, -1]
[low_temperature] = [pressor, chill, frostiness, cool, gelidity, -1]
[lowball] = [gauge, guess, approximate, estimate, judge, 1]
[lower_limit] = [small_indefinite_quantity, small_indefinite_amount, peak, skeleton, extremum, -1]
[lower_rank] = [low_status, lowness, backseat, lowliness, subordinateness, -1]
[lower_status] = [low_status, lowness, backseat, lowliness, subordinateness, -1]
[lowerclassman] = [junior, undergraduate, undergrad, freshman, fresher, -1]
[loxapine] = [major_tranquilizer, major_tranquillizer, major_tranquilliser, antipsychotic_drug, antipsychotic_agent, -1]
[loxitane] = [major_tranquilizer, major_tranquillizer, major_tranquilliser, antipsychotic_drug, antipsychotic_agent, -1]
[lubricity] = [amorousness, sexiness, amativeness, eroticism, erotism, 1]
[lucidity] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[lucidness] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[luck_out] = [deliver_the_goods, succeed, win, bring_home_the_bacon, come_through, 1]
[luckiness] = [successfulness, boon, prosperity, circumstances, blessing, 1]
[luminance] = [glow, illumination, incandescence, luminescence, illuminance, 1]
[luminescence] = [chemiluminescence, light, bioluminescence, visible_light, visible_radiation, -1]
[luminosity] = [glow, illumination, incandescence, luminescence, illuminance, 1]
[luminous_intensity_unit] = [cd, international_candle, candle, candela, standard_candle, -1]
[luminousness] = [glow, illumination, incandescence, luminescence, illuminance, 1]
[lump] = [clot, coagulum, gob, clew, agglomeration, -1]
[lunatic] = [weirdo, crazy, loony, looney, nutcase, -1]
[lunkhead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[lusus_naturae] = [mutant, variation, sport, leviathan, mutation, -1]
[lying_under_oath] = [misdemeanor, misdemeanour, infraction, violation, infringement, -1]
[lymphocytic_leukemia] = [leukemia, leukaemia, leucaemia, cancer_of_the_blood, lymphoblastic_leukemia, -1]
[lymphogranuloma_venereum] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[lymphopathia_venereum] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[lypressin] = [pressor, antidiuretic, antidiuretic_drug, vasoconstrictor, vasoconstrictive, -1]
[macaroni] = [gallant, dandy, swell, dude, fop, -1]
