[fragrancy] = [scent, aroma, olfactory_property, smell, odor, 1]
[gonorrhoea] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[good_example] = [beaut, ideal, beauty, pattern, pacesetter, 1]
[good_humor] = [jollity, jolliness, joviality, humor, temper, 1]
[good_luck_charm] = [fetish, juju, object, voodoo, fetich, 1]
[good_manners] = [urbanity, niceness, politeness, gallantry, politesse, 1]
[good_nature] = [longanimity, patience, good_will, forbearance, grace, 1]
[good_sense] = [road_sense, sagacity, sagaciousness, logic, nous, 1]
[good_temper] = [jollity, jolliness, joviality, humor, temper, 1]
[good_word] = [congratulations, kudos, extolment, character, puff, 1]
[goose_pimple] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[goose_skin] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[goosebump] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[gooseflesh] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[gothic_architecture] = [perpendicular, perpendicular_style, architectural_style, style_of_architecture, type_of_architecture, 1]
[gouger] = [combatant, battler, belligerent, fighter, scrapper, 1]
[gp] = [doctor, country_doctor, family_doctor, doc, physician, -1]
[graceful] = [gainly, gracile, willowy, elegant, smooth, 1]
[gracefulness] = [gracility, grace, lissomeness, litheness, suppleness, 1]
[graciousness] = [good_manners, suavity, suaveness, courtesy, smoothness, 1]
[graduated_table] = [measure, standard, wage_scale, wage_schedule, wind_scale, -1]
[grain_alcohol] = [absolute_alcohol, spirits_of_wine, denatured_alcohol, alcohol, plant_product, -1]
[grammatical_case] = [oblique, oblique_case, nominative, nominative_case, subject_case, 1]
[grande_dame] = [ma'am, gentlewoman, madam, dame, lady, 1]
[granulocyte] = [leukocyte, leucocyte, white_blood_cell, white_cell, white_blood_corpuscle, -1]
[granuloma_inguinale] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[granuloma_venereum] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[graphology] = [subject, discipline, study, subject_area, subject_field, -1]
[graveness] = [earnestness, sincerity, seriousness, stuffiness, stodginess, 1]
[gravitate] = [be_given, tend, incline, lean, run, 1]
[gray] = [silver_grey, silver_gray, tattletale_grey, tattletale_gray, achromatic_color, -1]
[grayness] = [silver_grey, silver_gray, tattletale_grey, tattletale_gray, achromatic_color, -1]
[greed] = [avarice, covetousness, possessiveness, desire, acquisitiveness, -1]
[greenhorn] = [novice, beginner, tyro, tiro, initiate, -1]
[greeting] = [wish, reception, welcome, hail, regard, 1]
[greyness] = [silver_grey, silver_gray, tattletale_grey, tattletale_gray, achromatic_color, -1]
[griever] = [unfortunate, unfortunate_person, weeper, pallbearer, bearer, -1]
[grillwork] = [net, network, mesh, meshing, meshwork, 1]
[grinding] = [atom, molecule, particle, corpuscle, mote, -1]
[grippe] = [contagious_disease, contagion, swine_influenza, swine_flu, respiratory_disease, 1]
[gristle] = [meniscus, semilunar_cartilage, fibrocartilage, hyaline_cartilage, arytenoid, -1]
[groaner] = [mortal, person, individual, someone, somebody, -1]
[grok] = [understand, twig, digest, tumble, intuit, 1]
[groomed] = [tidy, kempt, sleek, pomaded, brushed, 1]
[grooming] = [practice, activity, discipline, athletic_training, drill, 1]
[grouch] = [hothead, unpleasant_person, disagreeable_person, crabby_person, crab, -1]
[groundcover] = [pearlwort, pearlweed, flora, rupturewort, whitlowwort, -1]
[grump] = [hothead, unpleasant_person, disagreeable_person, crabby_person, crab, -1]
[gruntle] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[guardian_angel] = [eudemon, eudaemon, good_spirit, genius_loci, angel, 1]
[guardian_spirit] = [eudemon, eudaemon, good_spirit, genius_loci, angel, 1]
[guidance] = [hint, content, cynosure, confidential_information, lead, 1]
[guiltiness] = [impeachability, indictability, blameworthiness, culpability, culpableness, -1]
[guiltless] = [absolved, exculpated, exonerated, vindicated, clear, 1]
[gulping] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[gumption] = [road_sense, sagacity, sagaciousness, logic, nous, 1]
[gun_moll] = [felon, crook, malefactor, outlaw, criminal, 1]
[guncotton] = [cellulose_ester, pyroxylin, pyroxyline, pyrocellulose, nitrate, -1]
[gust] = [bluster, puff, sandblast, puff_of_air, whiff, 1]
[gutter] = [chute, slide, slideway, sloping_trough, cullis, -1]
[gymnosperm] = [progymnosperm, welwitschia, cycad, seed_fern, pteridosperm, -1]
[habitual_criminal] = [felon, crook, malefactor, outlaw, criminal, 1]
[habituation] = [drug_addiction, white_plague, physical_condition, physiological_state, physiological_condition, 1]
[haemorrhoidectomy] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, 1]
[haired] = [puberulent, sericeous, furlike, pappose, pilous, -1]
[hairless] = [bald, depilous, glabrescent, glabrous, balding, -1]
[hairy] = [puberulent, sericeous, furlike, pappose, pilous, -1]
[haldol] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[hallucinogen] = [lysergic_acid_diethylamide, mescaline, peyote, phencyclidine, phencyclidine_hydrochloride, -1]
[hallucinogenic_drug] = [lysergic_acid_diethylamide, mescaline, peyote, phencyclidine, phencyclidine_hydrochloride, -1]
[haloperidol] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[halophil] = [halobacteria, halobacterium, halobacter, archaebacteria, archaebacterium, -1]
[halophile] = [halobacteria, halobacterium, halobacter, archaebacteria, archaebacterium, -1]
[ham_actor] = [role_player, thespian, actor, histrion, player, -1]
[hamelia] = [bush, scarlet_bush, scarlet_hamelia, coloradillo, shrub, 1]
[hammerhead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[hand] = [hooks, meat_hooks, maulers, right, left, 1]
[hand_clapping] = [hand, round, approval, commendation, handclap, 1]
[hand_wear] = [wearable, wear, muff, glove, clothing, 1]
[handwear] = [wearable, wear, muff, glove, clothing, 1]
[hang_in] = [obstinate, ask_for_it, ask_for_trouble, preserve, plug, -1]
[hank_panky] = [sexual_intercourse, intercourse, sex_act, copulation, coitus, 1]
[haptic_sensation] = [itch, urtication, itchiness, itching, tickle, -1]
[hard_knocks] = [distress, affliction, catastrophe, misfortune, bad_luck, -1]
[hard_roe] = [coral, caviar, caviare, shad_roe, seafood, -1]
[hardihood] = [daredevilry, daredeviltry, temerity, audacity, audaciousness, 1]
[hardness] = [incompressibility, substance, firmness, consistency, consistence, -1]
[hardscrabble] = [meager, meagre, meagerly, scrimpy, stingy, -1]
[harlequinade] = [folly, lunacy, craziness, indulgence, shtik, 1]
[harlot] = [slattern, camp_follower, call_girl, comfort_woman, ianfu, -1]
[harmonious] = [true, pure, symphonious, harmonical, harmonized, 1]
[harmonize] = [check, go, match, correspond, jibe, 1]
[harridan] = [scold, nag, scolder, nagger, common_scold, -1]
[harry] = [torment, nettle, bedevil, bother, devil, -1]
[hastiness] = [abruptness, precipitateness, precipitousness, precipitance, precipitancy, -1]
[hatchet_job] = [malignment, vilification, smear, character_assassination, libel, -1]
[hater] = [abominator, loather, mortal, anglophobe, person, -1]
[haughtiness] = [superiority, pride, superbia, imperiousness, domineeringness, 1]
[hauler] = [garbage_man, garbageman, garbage_collector, garbage_carter, garbage_hauler, 1]
[haulier] = [garbage_man, garbageman, garbage_collector, garbage_carter, garbage_hauler, 1]
[hauteur] = [superiority, pride, superbia, imperiousness, domineeringness, 1]
[have_a_go_at_it] = [have, pair, take, couple, fornicate, 1]
[have_got] = [hold, stockpile, hold_on, stock, bear, 1]
[have_intercourse] = [have, pair, take, couple, fornicate, 1]
[have_it_away] = [have, pair, take, couple, fornicate, 1]
[have_it_off] = [have, pair, take, couple, fornicate, 1]
[have_sex] = [have, pair, take, couple, fornicate, 1]
[have_the_best] = [crush, trounce, beat, beat_out, vanquish, -1]
[have_words] = [castigate, tell_off, brush_down, chasten, objurgate, -1]
[hawkishness] = [ideology, militarism, warmongering, war_advocacy, political_orientation, 1]
[head_honcho] = [knocker, supremo, important_person, influential_person, personage, 1]
[health_hazard] = [risk, hazard, jeopardy, endangerment, peril, 1]
[healthiness] = [haleness, wholeness, rosiness, vim, vitality, 1]
[hearing_disorder] = [disability, disablement, handicap, impairment, sensorineural_hearing_loss, -1]
[hearing_impairment] = [disability, disablement, handicap, impairment, sensorineural_hearing_loss, -1]
[heart_and_soul] = [content, quintessence, stuff, bare_bones, hypostasis, 1]
[heart_disease] = [cardiac_arrhythmia, arrhythmia, cardiomyopathy, myocardiopathy, rheumatic_heart_disease, 1]
[heart_failure] = [congestive_heart_failure, heart_attack, failure, heart_disease, cardiopathy, -1]
[heart_line] = [crease, crinkle, wrinkle, furrow, seam, 1]
[heat_hyperpyrexia] = [heat_exhaustion, heat_prostration, prostration, sunstroke, thermic_fever, -1]
[heathen] = [paynim, nonreligious_person, idolizer, idolater, idol_worshiper, -1]
[heatstroke] = [heat_exhaustion, heat_prostration, prostration, sunstroke, thermic_fever, -1]
[helmet] = [armet, basinet, casque, heaume, morion, -1]
[helminthic] = [thiabendazole, medicament, medicinal_drug, medication, medicine, 1]
[helpfulness] = [avail, help, usefulness, utility, service, 1]
[helpmate] = [spouse, partner, married_person, mate, better_half, 1]
[helpmeet] = [spouse, partner, married_person, mate, better_half, 1]
[hem_in] = [hedge, surround, environ, ring, skirt, 1]
[hemorrhoidectomy] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, 1]
[hepatitis] = [viral_hepatitis, hepatitis_delta, delta_hepatitis, liver_disease, infectious_disease, -1]
[hereditary_condition] = [abetalipoproteinemia, congenital_megacolon, juvenile_amaurotic_idiocy, congenital_afibrinogenemia, lactose_intolerance, -1]
[hereditary_disease] = [abetalipoproteinemia, congenital_megacolon, juvenile_amaurotic_idiocy, congenital_afibrinogenemia, lactose_intolerance, -1]
[hermaphroditism] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, 1]
[heroin] = [smack, hell_dust, nose_drops, thunder, skag, -1]
[heroine] = [character, role, theatrical_role, part, persona, 1]
[heron's_bill] = [redstem_storksbill, alfilaria, alfileria, filaree, filaria, -1]
[herpes_genitalis] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, herpes_simplex, -1]
[herpes_virus] = [herpes_zoster, herpes_zoster_virus, herpes_simplex, herpes_simplex_virus, cytomegalovirus, -1]
[hesitate] = [falter, waver, linger, boggle, dwell_on, -1]
[heterodoxy] = [nonconformity, iconoclasm, nonconformism, nonconformance, orientation, 1]
[heterogeneity] = [diverseness, multifariousness, diversity, variety, nonuniformity, -1]
[heterogeneous] = [inhomogeneous, nonuniform, assorted, sundry, mixed, -1]
[heterogeneousness] = [diverseness, multifariousness, diversity, variety, nonuniformity, -1]
[heterogenous] = [inhomogeneous, nonuniform, assorted, sundry, mixed, -1]
[heteropterous_insect] = [insect, firebug, water_bug, assassin_bug, reduviid, -1]
[hiatus] = [defervescence, subsidence, break, remission, remittal, -1]
[hiding_place] = [lurking_place, spot, drop, hideaway, den, 1]
[high_status] = [preeminence, eminence, senior_status, higher_status, higher_rank, 1]
[high_tide] = [neap_tide, neap, springtide, direct_tide, tide, 1]
[high_water] = [neap_tide, neap, springtide, direct_tide, tide, 1]
[highbinder] = [criminal, outlaw, malefactor, felon, crook, -1]
[highwater] = [neap_tide, neap, springtide, direct_tide, tide, 1]
[hilt] = [hold, grip, basket_hilt, handle, handgrip, -1]
[hirschsprung's_disease] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[hirsute] = [puberulent, sericeous, furlike, pappose, pilous, -1]
[hit_the_jackpot] = [deliver_the_goods, succeed, win, bring_home_the_bacon, come_through, 1]
[hives] = [hypersensitivity_reaction, rash, efflorescence, roseola, skin_rash, -1]
[hoax] = [shenanigan, chicanery, wile, goldbrick, trickery, -1]
[hobo] = [vagrant, drifter, floater, vagabond, dosser, -1]
[hodgepodge] = [mixture, variety, motley, assortment, mixed_bag, 1]
[hold_in] = [hold, bear, rail, bound, border, 1]
[hold_on] = [hold, clasp, cling, latch_on, hang, 1]
[holding_cell] = [pokey, clink, slammer, jail, jailhouse, -1]
[hole] = [gap, rathole, aperture, bullet_hole, cranny, 1]
[holidaymaker] = [rubberneck, sightseer, excursionist, tripper, traveler, -1]
[holy_order] = [exorcist, deacon, acolyte, anagnost, doorkeeper, 1]
[holy_terror] = [rascal, rapscallion, scalawag, scallywag, monkey, -1]
[homeotherm] = [animal, animate_being, beast, creature, brute, -1]
[hominid] = [primate, homo, man, human_being, human, 1]
[homo] = [lesbian, fairy, fagot, faggot, fag, 1]
[homoeroticism] = [sex, inversion, sexual_inversion, lesbianism, sapphism, 1]
[homoiotherm] = [animal, animate_being, beast, creature, brute, -1]
[homophile] = [lesbian, fairy, fagot, faggot, fag, 1]
[homosexual] = [lesbian, fairy, fagot, faggot, fag, 1]
[homosexualism] = [sex, inversion, sexual_inversion, lesbianism, sapphism, 1]
[homosexuality] = [sex, inversion, sexual_inversion, lesbianism, sapphism, 1]
[homotherm] = [animal, animate_being, beast, creature, brute, -1]
[honestness] = [integrity, righteousness, scrupulousness, incorruptness, incorruption, 1]
[honeymooner] = [bride, groom, bridegroom, spouse, partner, 1]
[honkytonk] = [cabaret, nightclub, night_club, club, nightspot, -1]
[honorableness] = [respectability, reputability, venerability, venerableness, righteousness, 1]
[honoring] = [abidance, compliance, punctilio, conformity, conformation, 1]
[honourableness] = [respectability, reputability, venerability, venerableness, righteousness, 1]
[hood] = [criminal, bully, outlaw, malefactor, felon, -1]
[hoodlum] = [criminal, bully, outlaw, malefactor, felon, -1]
[hooey] = [meaninglessness, nonsense, bunk, nonsensicality, hokum, -1]
[hoofing] = [tap_dancing, tap_dance, dancing, dance, terpsichore, 1]
[hooligan] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[hooliganism] = [devilment, roguery, mischief, shenanigan, deviltry, -1]
[hoot] = [outcry, call, cry, yell, shout, -1]
[hootch] = [intoxicant, pruno, alcohol, alcoholic_drink, alcoholic_beverage, -1]
[hoper] = [mortal, person, individual, someone, somebody, 1]
[hornet] = [yellow_hornet, yellow_jacket, giant_hornet, vespid, vespid_wasp, -1]
[horripilation] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[horse_chestnut] = [sweet_buckeye, dwarf_buckeye, bottlebrush_buckeye, red_buckeye, particolored_buckeye, -1]
[horse_sense] = [road_sense, sagacity, sagaciousness, logic, nous, 1]
[horsemanship] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[horseshit] = [rot, bunk, bunkum, buncombe, guff, -1]
[hosanna] = [cry, yell, call, outcry, shout, 1]
[hospital_room] = [emergency_room, room, operating_room, operating_theater, surgery, 1]
[hostel] = [caravansary, caravanserai, khan, caravan_inn, imaret, 1]
[hothead] = [grouch, grump, crosspatch, churl, crank, -1]
[houseclean] = [tidy, tidy_up, clean_up, neaten, straighten, 1]
[howler] = [gag, jest, jape, joke, laugh, -1]
[hoyden] = [girl, miss, missy, young_lady, young_woman, 1]
[huckster] = [seller, marketer, vender, vendor, trafficker, -1]
[human_death] = [casualty, fatal_accident, killing, violent_death, death, -1]
[humate] = [humic_shale, material, stuff, peat, lignite, 1]
[humdinger] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[hungry] = [famished, starved, ravenous, esurient, peckish, -1]
[huntington's_chorea] = [autosomal_dominant_disease, autosomal_dominant_disorder, chorea, monogenic_disorder, monogenic_disease, 1]
[huntington's_disease] = [autosomal_dominant_disease, autosomal_dominant_disorder, chorea, monogenic_disorder, monogenic_disease, 1]
[hurly_burly] = [turmoil, convulsion, tempest, disorder, earthquake, -1]
[hurriedness] = [abruptness, precipitateness, precipitousness, precipitance, precipitancy, -1]
[hurting] = [aching, dysmenorrhea, labor_pain, neuralgia, neuralgy, -1]
[hydrops] = [angioedema, atrophedema, giant_hives, periodic_edema, lymphedema, -1]
[hype_up] = [charge_up, commove, agitate, excite, charge, -1]
[hyperbetalipoproteinemia] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[hyperbolize] = [brag, embellish, overemphasize, overstress, vaunt, 1]
[hyperdactyly] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[hyperemesis] = [hyperemesis_gravidarum, vomit, vomiting, emesis, regurgitation, -1]
[hyperhidrosis] = [perspiration, sweating, diaphoresis, sudation, hidrosis, -1]
[hyperidrosis] = [perspiration, sweating, diaphoresis, sudation, hidrosis, -1]
[hyperpigmentation] = [burn, tan, suntan, sunburn, physical_condition, -1]
[hyperpyrexia] = [fever, hyperthermia, hyperthermy, febrility, febricity, 1]
[hypersensitivity] = [cryesthesia, cryaesthesia, hypersensitivity_reaction, sensitivity, predisposition, -1]
[hypersensitivity_reaction] = [urtication, urticaria, hives, nettle_rash, allergy, -1]
[hypertension] = [secondary_hypertension, essential_hypertension, hyperpiesia, hyperpiesis, malignant_hypertension, 1]
[hyperthyroidism] = [exophthalmic_goiter, glandular_disease, gland_disease, glandular_disorder, adenosis, -1]
[hypertrophy] = [splenomegaly, giantism, gigantism, overgrowth, acromegaly, -1]
[hypocrisy] = [pretense, feigning, dissembling, pretence, crocodile_tears, 1]
[hypothesize] = [reconstruct, retrace, explicate, expect, formulate, 1]
[hypothetical_creature] = [alien, extraterrestrial_being, extraterrestrial, imaginary_being, imaginary_creature, -1]
[hypothyroidism] = [myxedema, myxoedema, cretinism, glandular_disease, gland_disease, -1]
[hypovitaminosis] = [scurvy, pellagra, mal_de_la_rosa, mal_rosso, maidism, -1]
[hysterical_neurosis] = [neurosis, neuroticism, psychoneurosis, hysterocatalepsy, anxiety_hysteria, -1]
[ibis] = [wood_ibis, wood_stork, sacred_ibis, wading_bird, wader, 1]
[iciness] = [cold, low_temperature, frigidity, frigidness, coldness, -1]
[icterus] = [jaundice_of_the_newborn, physiological_jaundice_of_the_newborn, icterus_neonatorum, kernicterus, symptom, -1]
[ictus] = [convulsion, raptus_hemorrhagicus, focal_seizure, absence, absence_seizure, 1]
[ideal_solid] = [regular_tetrahedron, cube, regular_hexahedron, regular_dodecahedron, regular_octahedron, 1]
[ideate] = [fancy, foresee, fantasy, daydream, woolgather, -1]
[identifiable] = [acknowledgeable, specifiable, recognizable, diagnosable, classifiable, 1]
[ideogram] = [character, logogram, logograph, graph, grapheme, -1]
[ideograph] = [character, logogram, logograph, graph, grapheme, -1]
[ideological_barrier] = [iron_curtain, bamboo_curtain, color_bar, color_line, barrier, -1]
[idiocy] = [slowness, mental_retardation, backwardness, subnormality, retardation, -1]
[ignominy] = [reproach, obloquy, odium, dishonor, humiliation, -1]
[ill_humor] = [crossness, fretfulness, peevishness, petulance, moodiness, -1]
[ill_luck] = [hard_cheese, weakness, gutter, adversity, hardship, -1]
[ill_nature] = [sullenness, moroseness, crabbiness, crabbedness, crankiness, -1]
[illiterate] = [analphabet, analphabetic, functional_illiterate, ignoramus, know_nothing, -1]
[illiterate_person] = [analphabet, analphabetic, functional_illiterate, ignoramus, know_nothing, -1]
[illogical] = [absurd, inconsequential, intuitive, visceral, nonrational, 1]
[illumination_unit] = [footcandle, lambert, lux, lx, phot, -1]
[illusion] = [phantom, shadow, phantom_limb, phantasm, phantasma, -1]
[illusionist] = [diviner, intellect, anticipant, intellectual, anticipator, -1]
[illustrate] = [elaborate, lucubrate, expatiate, exposit, enlarge, 1]
[imaginativeness] = [fancy, fantasy, dream, creativity, creativeness, -1]
[imagine] = [fancy, foresee, fantasy, daydream, woolgather, -1]
[imbecility] = [slowness, mental_retardation, backwardness, subnormality, retardation, -1]
