[anaesthesia] = [cryoanesthesia, cryoanaesthesia, general_anesthesia, general_anaesthesia, local_anesthesia, -1]
[ataractic_drug] = [minor_tranquilizer, minor_tranquillizer, minor_tranquilliser, antianxiety_drug, anxiolytic, -1]
[ataraxia] = [tranquility, serenity, repose, placidity, quiet, 1]
[ataxia] = [hereditary_cerebellar_ataxia, herediatry_spinal_ataxia, nervous_disorder, neurological_disorder, neurological_disease, -1]
[ataxy] = [hereditary_cerebellar_ataxia, herediatry_spinal_ataxia, nervous_disorder, neurological_disorder, neurological_disease, -1]
[athletic_game] = [sport, game, ice_hockey, hockey, hockey_game, 1]
[athletic_wear] = [attire, garb, dress, gym_suit, running_suit, -1]
[atomic_number_54] = [chemical_element, element, noble_gas, inert_gas, argonon, -1]
[atomic_number_79] = [green_gold, pure_gold, gold_dust, guinea_gold, noble_metal, -1]
[atonement] = [amends, damages, indemnification, redress, restitution, -1]
[atrophic_arthritis] = [arthritis, psoriatic_arthritis, juvenile_rheumatoid_arthritis, autoimmune_disease, autoimmune_disorder, -1]
[atrophy] = [amyotrophia, amyotrophy, tabes, kraurosis, symptom, -1]
[attest] = [prove, show, condemn, authenticate, reflect, 1]
[attire] = [finery, sportswear, athletic_wear, activewear, costume, -1]
[attract] = [get, catch, arrest, tug, retract, 1]
[attractiveness] = [quality, fascination, allurement, allure, temptingness, 1]
[attributable] = [due, traceable, ascribable, imputable, referable, 1]
[attribution] = [zoomorphism, classification, categorization, categorisation, sorting, 1]
[atypical_pneumonia] = [psittacosis, parrot_fever, ornithosis, respiratory_disease, respiratory_illness, 1]
[au] = [green_gold, pure_gold, gold_dust, guinea_gold, noble_metal, -1]
[audition] = [ear, absolute_pitch, perfect_pitch, modality, sense_modality, 1]
[auditor] = [percipient, eavesdropper, perceiver, observer, beholder, -1]
[auspicate] = [foreshow, signal, threaten, bespeak, betoken, 1]
[auspice] = [omen, portent, presage, prognostic, prognostication, 1]
[auspicious] = [fortunate, rosy, promising, bright, hopeful, 1]
[auspiciousness] = [profitableness, favorableness, favourableness, advantageousness, positivity, 1]
[australian_magpie] = [piping_crow, butcherbird, currawong, bell_magpie, oscine, -1]
[authenticity] = [real_thing, real_stuff, credibility, credibleness, believability, 1]
[authoring_language] = [software, software_program, computer_software, software_system, software_package, -1]
[authorised] = [commissioned, accredited, licensed, licenced, approved, -1]
[authorized] = [commissioned, accredited, licensed, licenced, approved, -1]
[autobahn] = [expressway, freeway, motorway, state_highway, throughway, 1]
